severity	app	product_ids	anomaly_type	evidence	confidence
BLOCKER	BlockPuzzle	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	BlockPuzzle	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BlockPuzzle	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BlockPuzzle	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BlockPuzzle	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	BloodPressureLog	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	BloodPressureLog	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BloodPressureLog	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BloodPressureLog	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BloodPressureLog	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	BloodSugarLog	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	BloodSugarLog	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BloodSugarLog	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BloodSugarLog	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BloodSugarLog	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	BreathingExercise	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	BreathingExercise	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BreathingExercise	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BreathingExercise	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BreathingExercise	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	BrickBreaker	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	BrickBreaker	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	BubbleShooter	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	BubbleShooter	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BubbleShooter	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BubbleShooter	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BubbleShooter	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	BudgetPlanner	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	BudgetPlanner	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BudgetPlanner	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BudgetPlanner	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	BudgetPlanner	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	CapitalCities	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	CapitalCities	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CapitalCities	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CapitalCities	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CapitalCities	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	CharadesApp	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	CharadesApp	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CharadesApp	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CharadesApp	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CharadesApp	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	ChessClock	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	ChessClock	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ChessClock	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ChessClock	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ChessClock	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	ChoreChart	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	ChoreChart	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ChoreChart	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ChoreChart	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ChoreChart	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	CocktailGuide	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	CocktailGuide	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CocktailGuide	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CocktailGuide	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CocktailGuide	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	CoffeeGuide	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	CoffeeGuide	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CoffeeGuide	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CoffeeGuide	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CoffeeGuide	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	CompoundInterest	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	CompoundInterest	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CompoundInterest	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CompoundInterest	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CompoundInterest	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	Connections	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	Connections	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	CountingApp	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	CountingApp	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CountingApp	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CountingApp	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CountingApp	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	Cryptogram	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	Cryptogram	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	Cryptogram	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	Cryptogram	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CurrencyConverter	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	CurrencyConverter	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CurrencyConverter	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CurrencyConverter	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	CurrencyConverter	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	DartsScorer	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	DartsScorer	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DartsScorer	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DartsScorer	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DartsScorer	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	DecisionMaker	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	DecisionMaker	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DecisionMaker	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DecisionMaker	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DecisionMaker	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	DiceRoller	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	DiceRoller	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DiceRoller	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DiceRoller	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DiceRoller	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	DinosaurApp	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	DinosaurApp	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DinosaurApp	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DinosaurApp	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DinosaurApp	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	DotArt	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	DotArt	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DotArt	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DotArt	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DotArt	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	DrumMachine	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	DrumMachine	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DrumMachine	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DrumMachine	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	DrumMachine	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	EmojiQuiz	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	EmojiQuiz	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	EmojiQuiz	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	EmojiQuiz	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	EmojiQuiz	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	EmotionFlash	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	EmotionFlash	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	EmotionFlash	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	EmotionFlash	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	EmotionFlash	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	ExpenseTracker	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	ExpenseTracker	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ExpenseTracker	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ExpenseTracker	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	ExpenseTracker	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	EyeRest	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	EyeRest	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	EyeRest	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	EyeRest	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	EyeRest	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	FastingTimer	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	FastingTimer	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FastingTimer	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FastingTimer	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FastingTimer	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	FindDifference	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	FindDifference	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FindDifference	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FindDifference	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FishingLog	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	FishingLog	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FishingLog	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FishingLog	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FishingLog	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
BLOCKER	FlagQuiz	five_lives + unlimited_lives_1h	same_price_different_value	both at $0.99; 'unlimited_lives_1h' grants strictly more lives than 'five_lives'	HIGH
BLOCKER	FlagQuiz	five_lives	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FlagQuiz	unlimited_lives_1h	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FlagQuiz	unlimited_lives_forever	mechanic_mismatch_lives	no 'lives' / 'hearts' references found in game.html — user could buy a SKU the app can't grant	LOW
BLOCKER	FlagQuiz	hint_pack	mechanic_mismatch_hints	no 'hints' references found in game.html	LOW
